Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Ascot Vale,7a Station Av,2,h,872500,PI,Jellis,8/10/2016,5.9,3032,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6567
Ascot Vale,51 Francis St,2,h,770000,PI,Nelson,10/09/2016,5.9,3032,2,1,1,226,87,1900,Moonee Valley City Council,-37.7774,144.9186,Western Metropolitan,6567
Ascot Vale,5/39 Sandown Rd,2,t,490000,PI,Alexkarbon,10/09/2016,5.9,3032,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6567
Ascot Vale,33 Dalgety Dr,3,h,960000,S,Walshe,10/12/2016,5.9,3032,3,2,2,229,,2011,Moonee Valley City Council,-37.7778,144.9065,Western Metropolitan,6567
Ascot Vale,12 Mirams St,4,h,890000,SP,Raine,10/12/2016,5.9,3032,4,1,1,300,185,1890,Moonee Valley City Council,-37.7766,144.9143,Western Metropolitan,6567
Ascot Vale,2 The Parade,2,h,965000,S,Nelson,10/12/2016,5.9,3032,2,1,1,170,,,Moonee Valley City Council,-37.7732,144.9206,Western Metropolitan,6567
Ascot Vale,13 Wigton St,4,h,,S,Nelson,10/12/2016,5.9,3032,4,1,2,462,170,1910,Moonee Valley City Council,-37.7795,144.929,Western Metropolitan,6567
Ascot Vale,17 Aspect Av,4,h,1200000,PI,Nelson,11/02/2017,5.9,3032,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6567
Ascot Vale,78 The Parade,3,h,1440000,S,Nelson,11/02/2017,5.9,3032,3,1,1,487,131,1900,Moonee Valley City Council,-37.7725,144.9146,Western Metropolitan,6567
Ascot Vale,11 Ascot St,2,h,955000,S,Woodards,11/03/2017,5.9,3032,2,1,0,255,,,Moonee Valley City Council,-37.7825,144.9208,Western Metropolitan,6567
Ascot Vale,24/54 Epsom Rd,2,u,450000,VB,Nelson,12/11/2016,5.9,3032,2,1,1,0,,2010,Moonee Valley City Council,-37.7731,144.9074,Western Metropolitan,6567
Ascot Vale,2 Farncomb St,3,h,801000,S,Jellis,12/11/2016,5.9,3032,3,1,2,431,,1950,Moonee Valley City Council,-37.781,144.9207,Western Metropolitan,6567
Ascot Vale,13 Fisher Pde,4,h,,S,Rendina,12/11/2016,5.9,3032,4,2,3,950,177,1950,Moonee Valley City Council,-37.7855,144.905,Western Metropolitan,6567
Ascot Vale,6 Leonard Cr,3,h,770000,SP,Rendina,12/11/2016,5.9,3032,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6567
Ascot Vale,26 Newsom St,3,h,1000000,PI,Brad,12/11/2016,5.9,3032,3,2,2,440,120,1955,Moonee Valley City Council,-37.7746,144.9031,Western Metropolitan,6567
Ascot Vale,8 Pentland St,3,h,1435000,S,Nelson,12/11/2016,5.9,3032,3,2,2,532,147,1950,Moonee Valley City Council,-37.7737,144.904,Western Metropolitan,6567
Ascot Vale,8/129 The Parade,1,u,390000,S,Alexkarbon,12/11/2016,5.9,3032,1,1,1,0,58,1972,Moonee Valley City Council,-37.7723,144.9094,Western Metropolitan,6567
Ascot Vale,52 Monash St,3,h,1425000,PI,Jellis,13/08/2016,5.9,3032,3,2,2,495,139,1920,Moonee Valley City Council,-37.7821,144.9055,Western Metropolitan,6567
Ascot Vale,32 Myross Av,3,h,925000,S,Nelson,13/08/2016,5.9,3032,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6567
Ascot Vale,58 Fenton St,4,h,1340000,S,Nelson,14/05/2016,5.9,3032,3,2,2,683,232,1978,Moonee Valley City Council,-37.775,144.932,Western Metropolitan,6567
Ascot Vale,70 Munro St,3,h,955000,S,Brad,14/05/2016,5.9,3032,3,1,1,263,117,1910,Moonee Valley City Council,-37.7753,144.9116,Western Metropolitan,6567
Ascot Vale,1 Nairn Av,2,h,1075000,PI,Jellis,14/05/2016,5.9,3032,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6567
Ascot Vale,125 Epsom Rd,4,h,1100000,VB,Nelson,15/10/2016,5.9,3032,4,2,5,559,195,1920,Moonee Valley City Council,-37.7791,144.9136,Western Metropolitan,6567
Ascot Vale,33 Hockey La,3,h,1255000,S,Nelson,15/10/2016,5.9,3032,3,2,2,308,,,Moonee Valley City Council,-37.7759,144.9338,Western Metropolitan,6567
Ascot Vale,55 Hunt Cr,4,h,1483000,S,Brad,15/10/2016,5.9,3032,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6567
Ascot Vale,3/28 Ormond Rd,2,u,432000,S,Biggin,15/10/2016,5.9,3032,2,1,1,0,62,1978,Moonee Valley City Council,-37.773,144.9303,Western Metropolitan,6567
Ascot Vale,7 Angler Pde,4,h,1640000,S,Raine,16/04/2016,5.9,3032,4,3,2,562,204,1890,Moonee Valley City Council,-37.782,144.903,Western Metropolitan,6567
Ascot Vale,26 Ayr St,6,h,1430000,S,Nelson,16/04/2016,5.9,3032,4,2,1,461,286,1900,Moonee Valley City Council,-37.78,144.9295,Western Metropolitan,6567
Ascot Vale,2/127 Epsom Rd,2,u,610000,SP,Brad,16/04/2016,5.9,3032,2,1,1,301,104,1995,Moonee Valley City Council,-37.7791,144.914,Western Metropolitan,6567
Ascot Vale,57 The Parade,3,h,940000,S,Nelson,16/04/2016,5.9,3032,3,3,1,491,127,1950,Moonee Valley City Council,-37.7727,144.9136,Western Metropolitan,6567
Ascot Vale,62 Mirams St,3,h,890000,SP,Brad,16/07/2016,5.9,3032,3,1,1,242,110,1920,Moonee Valley City Council,-37.7765,144.9114,Western Metropolitan,6567
Ascot Vale,4 Morphett Av,4,h,1505000,SP,Brad,16/07/2016,5.9,3032,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6567
Ascot Vale,67 Hurtle St,3,h,1180000,SP,Brad,17/09/2016,5.9,3032,3,2,2,617,149,1930,Moonee Valley City Council,-37.7742,144.906,Western Metropolitan,6567
Ascot Vale,95 Walter St,4,h,1480000,S,Raine,17/09/2016,5.9,3032,4,2,2,597,180,1939,Moonee Valley City Council,-37.7757,144.9088,Western Metropolitan,6567
Ascot Vale,15 Bayview Tce,2,h,1150000,S,Brad,18/03/2017,5.9,3032,2,1,1,387,,,Moonee Valley City Council,-37.7734,144.9191,Western Metropolitan,6567
Ascot Vale,57 Monash St,3,h,1350000,S,Brad,18/03/2017,5.9,3032,3,1,3,575,,,Moonee Valley City Council,-37.7828,144.9049,Western Metropolitan,6567
Ascot Vale,54 South St,5,h,1905000,S,Nelson,18/03/2017,5.9,3032,5,2,2,521,,,Moonee Valley City Council,-37.7778,144.9261,Western Metropolitan,6567
Ascot Vale,3/8 Walter St,2,t,865000,SP,Nelson,18/03/2017,5.9,3032,2,2,1,146,132,2015,Moonee Valley City Council,-37.7713,144.9038,Western Metropolitan,6567
Ascot Vale,2/225 Maribyrnong Rd,2,t,705000,S,Brad,18/06/2016,5.9,3032,2,2,1,113,,1998,Moonee Valley City Council,-37.7712,144.9088,Western Metropolitan,6567
Ascot Vale,12/9 Milton St,2,u,442000,S,Alexkarbon,18/06/2016,5.9,3032,2,1,1,0,62,1975,Moonee Valley City Council,-37.7733,144.9219,Western Metropolitan,6567
Ascot Vale,107/8 Burrowes St,2,u,540000,S,Jellis,19/11/2016,5.9,3032,2,2,1,0,,,Moonee Valley City Council,-37.7786,144.9141,Western Metropolitan,6567
Ascot Vale,21A Geddes St,3,h,1037500,S,Alexkarbon,19/11/2016,5.9,3032,3,1,2,506,110,1920,Moonee Valley City Council,-37.7779,144.9133,Western Metropolitan,6567
Ascot Vale,1/20 Newsom St,3,t,1050000,S,Jellis,19/11/2016,5.9,3032,3,2,2,318,160,2013,Moonee Valley City Council,-37.7744,144.9035,Western Metropolitan,6567
Ascot Vale,14 Ormond Rd,6,h,,S,Rendina,19/11/2016,5.9,3032,6,2,3,833,411,1910,Moonee Valley City Council,-37.7729,144.9291,Western Metropolitan,6567
Ascot Vale,4/27 Roseberry St,2,u,440000,S,McDonald,19/11/2016,5.9,3032,2,1,1,0,65,1970,Moonee Valley City Council,-37.7749,144.9137,Western Metropolitan,6567
Ascot Vale,126 The Parade,2,h,1010000,S,Brad,19/11/2016,5.9,3032,2,1,1,325,,,Moonee Valley City Council,-37.7722,144.9117,Western Metropolitan,6567
Ascot Vale,43 Bloomfield Rd,4,h,1430000,S,Nelson,22/05/2016,5.9,3032,4,2,0,418,158,1900,Moonee Valley City Council,-37.7766,144.9187,Western Metropolitan,6567
Ascot Vale,6/17 Geddes St,2,u,570000,VB,Nelson,22/05/2016,5.9,3032,2,1,1,0,,,Moonee Valley City Council,-37.7779,144.9137,Western Metropolitan,6567
Ascot Vale,1/60 The Parade,2,u,690000,S,Brad,22/05/2016,5.9,3032,2,1,1,0,,,Moonee Valley City Council,-37.7728,144.9169,Western Metropolitan,6567
Ascot Vale,96 The Parade,4,h,,S,Raine,22/05/2016,5.9,3032,4,3,4,487,402,1940,Moonee Valley City Council,-37.7724,144.9136,Western Metropolitan,6567
Ascot Vale,3 Aspect Av,4,h,1070000,S,Nelson,22/08/2016,5.9,3032,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6567
Ascot Vale,45 Bloomfield Rd,3,h,1291000,S,Brad,23/04/2016,5.9,3032,3,1,2,414,,,Moonee Valley City Council,-37.7766,144.9185,Western Metropolitan,6567
Ascot Vale,72 Kent St,3,h,,S,Brad,23/04/2016,5.9,3032,3,2,2,298,132,1890,Moonee Valley City Council,-37.78,144.9247,Western Metropolitan,6567
Ascot Vale,21 Middle St,3,h,1130000,S,Nelson,23/04/2016,5.9,3032,3,2,1,272,157,1900,Moonee Valley City Council,-37.7774,144.928,Western Metropolitan,6567
Ascot Vale,78 Francis St,3,h,1135000,S,Brad,24/09/2016,5.9,3032,3,1,1,296,104,1910,Moonee Valley City Council,-37.777,144.9176,Western Metropolitan,6567
Ascot Vale,25 Geddes St,4,h,950000,PI,Nelson,24/09/2016,5.9,3032,4,2,1,298,147,1920,Moonee Valley City Council,-37.7778,144.9131,Western Metropolitan,6567
Ascot Vale,106/246 Union Rd,3,u,790000,PI,Weda,24/09/2016,5.9,3032,3,2,1,0,148,,Moonee Valley City Council,-37.7722,144.9163,Western Metropolitan,6567
Ascot Vale,57 Bloomfield Rd,3,h,,SP,Alexkarbon,25/02/2017,5.9,3032,3,1,1,206,115,1900,Moonee Valley City Council,-37.7765,144.9177,Western Metropolitan,6567
Ascot Vale,18/54 Epsom Rd,2,u,390000,PI,Jellis,25/02/2017,5.9,3032,2,1,1,1957,69,2012,Moonee Valley City Council,-37.7731,144.9074,Western Metropolitan,6567
Ascot Vale,15 Mirams St,4,h,1345000,S,Jellis,25/02/2017,5.9,3032,4,1,1,552,155,1920,Moonee Valley City Council,-37.7769,144.9138,Western Metropolitan,6567
Ascot Vale,6/37 Myrnong Cr,1,u,296000,S,Woodards,25/02/2017,5.9,3032,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6567
Ascot Vale,44 Walter St,3,h,1381500,S,Barry,25/02/2017,5.9,3032,3,2,2,416,168,1900,Moonee Valley City Council,-37.7727,144.9055,Western Metropolitan,6567
Ascot Vale,25 Dalgety Dr,3,h,940000,S,Jellis,26/07/2016,5.9,3032,3,2,2,285,172,2011,Moonee Valley City Council,-37.7778,144.9061,Western Metropolitan,6567
Ascot Vale,7 Dalgety Dr,3,h,995000,S,Nelson,26/07/2016,5.9,3032,3,2,1,314,177,2010,Moonee Valley City Council,-37.7778,144.9042,Western Metropolitan,6567
Ascot Vale,37 Epsom Rd,3,h,1050000,SP,Frank,26/07/2016,5.9,3032,3,1,3,536,,,Moonee Valley City Council,-37.7728,144.9076,Western Metropolitan,6567
Ascot Vale,6 Waller Ct,3,h,786000,S,Brad,26/07/2016,5.9,3032,3,2,1,576,120,1940,Moonee Valley City Council,-37.7816,144.9217,Western Metropolitan,6567
Ascot Vale,17 Ascot St,2,h,705000,PI,Nelson,27/06/2016,5.9,3032,2,1,3,252,108,1910,Moonee Valley City Council,-37.7825,144.9206,Western Metropolitan,6567
Ascot Vale,19 Dunlop Av,3,h,660000,PI,Nelson,27/06/2016,5.9,3032,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6567
Ascot Vale,73 Kent St,2,h,760000,PI,Nelson,27/06/2016,5.9,3032,2,1,1,124,77,1900,Moonee Valley City Council,-37.7807,144.9285,Western Metropolitan,6567
Ascot Vale,9/129 The Parade,3,u,487500,S,Hodges,27/06/2016,5.9,3032,3,1,3,0,,1972,Moonee Valley City Council,-37.7723,144.9094,Western Metropolitan,6567
Ascot Vale,20 Charles St,3,h,1125000,S,Nelson,27/11/2016,5.9,3032,,,,,,,Moonee Valley City Council,-37.7783,144.91,Western Metropolitan,6567
Ascot Vale,1 East St,3,t,1000000,S,Nelson,27/11/2016,5.9,3032,3,2,2,200,144,2003,Moonee Valley City Council,-37.7766,144.9277,Western Metropolitan,6567
Ascot Vale,32 Geddes St,4,h,1110000,PI,Nelson,27/11/2016,5.9,3032,4,2,1,349,,1920,Moonee Valley City Council,-37.7775,144.913,Western Metropolitan,6567
Ascot Vale,30 Mirams St,4,h,1300000,PI,Jellis,27/11/2016,5.9,3032,4,1,4,664,,,Moonee Valley City Council,-37.7765,144.9132,Western Metropolitan,6567
Ascot Vale,43 Mirams St,3,h,1060000,PI,Nelson,27/11/2016,5.9,3032,3,1,1,555,,,Moonee Valley City Council,-37.7767,144.9125,Western Metropolitan,6567
Ascot Vale,45 Mirams St,3,h,1410000,PI,Nelson,27/11/2016,5.9,3032,3,2,2,459,,,Moonee Valley City Council,-37.7767,144.9124,Western Metropolitan,6567
Ascot Vale,1 Bloomfield Rd,3,h,1305000,S,Barry,28/05/2016,5.9,3032,2,1,1,278,166,1900,Moonee Valley City Council,-37.7768,144.9223,Western Metropolitan,6567
Ascot Vale,26 Milton St,3,h,932500,S,Nelson,28/05/2016,5.9,3032,3,2,1,254,,,Moonee Valley City Council,-37.7738,144.9215,Western Metropolitan,6567
Ascot Vale,10 Ayr St,3,h,965000,S,Alexkarbon,28/08/2016,5.9,3032,3,1,0,216,,,Moonee Valley City Council,-37.7792,144.9297,Western Metropolitan,6567
Ascot Vale,58 Bloomfield Rd,3,h,1215000,S,Stockdale,28/08/2016,5.9,3032,3,1,1,452,175,1960,Moonee Valley City Council,-37.7762,144.9174,Western Metropolitan,6567
Ascot Vale,1/91 Epsom Rd,2,u,545000,S,Nelson,28/08/2016,5.9,3032,2,1,2,194,71,1900,Moonee Valley City Council,-37.7772,144.9118,Western Metropolitan,6567
Ascot Vale,1 Myross Av,4,h,1800000,S,Brad,28/08/2016,5.9,3032,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6567
Ascot Vale,4/33 Sandown Rd,3,t,840000,SP,Brad,28/08/2016,5.9,3032,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6567
Ascot Vale,5 Doncaster St,4,h,1705000,S,Jellis,30/07/2016,5.9,3032,4,2,4,598,273,2012,Moonee Valley City Council,-37.7774,144.9104,Western Metropolitan,6567
Ascot Vale,6 McCully St,3,h,970000,S,Nelson,30/07/2016,5.9,3032,2,1,1,194,,,Moonee Valley City Council,-37.7756,144.921,Western Metropolitan,6567
Ascot Vale,75 Munro St,2,h,925000,S,Barry,30/07/2016,5.9,3032,2,1,1,407,,,Moonee Valley City Council,-37.7756,144.9105,Western Metropolitan,6567
Carlton North,527 Nicholson St,3,h,1330000,VB,Nelson,03/09/2016,3.2,3054,3,1,1,314,,1900,Melbourne City Council,-37.7871,144.9766,Northern Metropolitan,3106
Carlton North,593 Canning St,3,h,1540000,S,Nelson,04/03/2017,3.2,3054,3,1,0,169,,,Melbourne City Council,-37.7821,144.9753,Northern Metropolitan,3106
Carlton North,112 Newry St,4,h,1425000,S,Nelson,04/03/2017,3.2,3054,4,3,0,122,130,1890,Melbourne City Council,-37.7893,144.9696,Northern Metropolitan,3106
Carlton North,122 Richardson St,2,h,1725000,S,hockingstuart,04/03/2017,3.2,3054,2,1,1,210,,,Melbourne City Council,-37.7844,144.972,Northern Metropolitan,3106
Carlton North,247 Richardson St,3,h,,SP,Nelson,04/03/2017,3.2,3054,3,1,1,187,,,Melbourne City Council,-37.7843,144.9673,Northern Metropolitan,3106
Carlton North,632 Rathdowne St,3,h,1280000,VB,Nelson,06/08/2016,3.2,3054,3,1,0,203,,,Melbourne City Council,-37.7824,144.9733,Northern Metropolitan,3106
Carlton North,449 Canning St,2,h,,SP,Nelson,07/05/2016,3.2,3054,2,1,1,178,,,Melbourne City Council,-37.7859,144.9746,Northern Metropolitan,3106
Carlton North,989 Drummond St,3,h,2950000,SP,Chambers,07/05/2016,3.2,3054,3,1,2,499,164,1910,Melbourne City Council,-37.7811,144.9715,Northern Metropolitan,3106
Carlton North,700 Rathdowne St,4,h,2175000,S,Woodards,07/05/2016,3.2,3054,3,1,0,418,163,1920,Melbourne City Council,-37.7808,144.9736,Northern Metropolitan,3106
Carlton North,86 Wilson St,3,h,1555000,S,Woodards,07/05/2016,3.2,3054,,,,,,,Melbourne City Council,,,Northern Metropolitan,3106
Carlton North,2/872 Drummond St,2,t,765000,S,Nelson,8/10/2016,3.2,3054,2,1,1,1031,,1970,Melbourne City Council,-37.784,144.9715,Northern Metropolitan,3106
Carlton North,568 Station St,3,h,,S,Nelson,10/09/2016,3.2,3054,3,1,1,174,114,1910,Melbourne City Council,-37.7832,144.9766,Northern Metropolitan,3106
Carlton North,1 Fletcher La,2,h,800000,PI,Nelson,10/12/2016,3.2,3054,2,1,1,73,104,2009,Melbourne City Council,-37.7852,144.9719,Northern Metropolitan,3106
Carlton North,173 MacPherson St,2,h,1301000,S,Nelson,10/12/2016,3.2,3054,2,1,0,133,,,Melbourne City Council,-37.786,144.9704,Northern Metropolitan,3106
Carlton North,450 Park St,2,h,,S,Nelson,10/12/2016,3.2,3054,2,1,0,168,,,Melbourne City Council,-37.7796,144.9715,Northern Metropolitan,3106
Carlton North,94 Princes St,2,h,,S,Jellis,10/12/2016,3.2,3054,2,1,0,115,78,1880,Melbourne City Council,-37.7925,144.9724,Northern Metropolitan,3106
Carlton North,967 Drummond St,4,h,2718000,S,Ray,11/03/2017,3.2,3054,4,2,0,538,142,2015,Melbourne City Council,-37.7816,144.9714,Northern Metropolitan,3106
Carlton North,9/823 Rathdowne St,1,u,468000,S,Nelson,11/03/2017,3.2,3054,1,1,1,861,,1970,Melbourne City Council,-37.7851,144.9723,Northern Metropolitan,3106
Carlton North,392 Station St,2,h,2400000,S,Kelly,12/11/2016,3.2,3054,1,2,0,413,172,1900,Melbourne City Council,-37.7875,144.9759,Northern Metropolitan,3106
Carlton North,122 Amess St,3,h,2210000,S,Nelson,14/05/2016,3.2,3054,2,2,1,190,,,Melbourne City Council,-37.7847,144.9741,Northern Metropolitan,3106
Carlton North,40 Ogrady St,2,h,1330000,S,Nelson,15/10/2016,3.2,3054,2,1,0,116,,,Melbourne City Council,-37.7904,144.9726,Northern Metropolitan,3106
Carlton North,1018 Drummond St,4,h,2520000,S,Nelson,16/04/2016,3.2,3054,4,2,2,504,168,1890,Melbourne City Council,-37.7805,144.9721,Northern Metropolitan,3106
Carlton North,354 Station St,3,h,1214000,S,Nelson,16/04/2016,3.2,3054,3,3,1,144,,,Melbourne City Council,-37.7885,144.9757,Northern Metropolitan,3106
Carlton North,462 Canning St,3,h,1955000,S,Nelson,16/07/2016,3.2,3054,3,2,1,163,135,,Melbourne City Council,-37.786,144.9751,Northern Metropolitan,3106
Carlton North,636 Canning St,3,h,,S,Nelson,16/07/2016,3.2,3054,3,1,0,252,110,1890,Melbourne City Council,-37.7817,144.9759,Northern Metropolitan,3106
Carlton North,26/174 Lee St,1,u,390000,S,Kelly,16/07/2016,3.2,3054,1,1,1,0,,1970,Melbourne City Council,-37.7907,144.9691,Northern Metropolitan,3106
Carlton North,119 Curtain St,1,h,885000,S,Nelson,18/03/2017,3.2,3054,1,1,0,93,,,Melbourne City Council,-37.7888,144.9698,Northern Metropolitan,3106
Carlton North,75 Fenwick St,3,h,2050000,S,Nelson,18/03/2017,3.2,3054,3,2,0,84,148,1970,Melbourne City Council,-37.7879,144.9736,Northern Metropolitan,3106
Carlton North,16 Fenwick St,2,h,910000,S,Nelson,18/06/2016,3.2,3054,3,1,1,100,,,Melbourne City Council,-37.7879,144.9759,Northern Metropolitan,3106
Carlton North,658 Lygon St,2,h,880000,S,Nelson,18/06/2016,3.2,3054,2,1,0,142,,,Melbourne City Council,-37.7911,144.9688,Northern Metropolitan,3106
Carlton North,292 Amess St,4,h,1950000,S,Nelson,22/05/2016,3.2,3054,4,2,2,207,162,1900,Melbourne City Council,-37.7804,144.9748,Northern Metropolitan,3106
Carlton North,167 Richardson St,3,h,1280000,S,Nelson,22/08/2016,3.2,3054,3,1,1,131,,,Melbourne City Council,-37.7846,144.9704,Northern Metropolitan,3106
Carlton North,14/1102 Lygon St,1,u,437000,S,Nelson,24/09/2016,3.2,3054,1,1,1,0,56,1970,Melbourne City Council,-37.7798,144.9707,Northern Metropolitan,3106
Carlton North,956 Lygon St,3,h,,S,Woodards,24/09/2016,3.2,3054,3,1,1,408,215,1910,Melbourne City Council,-37.7833,144.9702,Northern Metropolitan,3106
Carlton North,984 Lygon St,2,h,1150000,VB,Nelson,24/09/2016,3.2,3054,2,1,2,373,,,Melbourne City Council,-37.7828,144.9702,Northern Metropolitan,3106
Carlton North,4 Mary St,2,u,520000,VB,Nelson,24/09/2016,3.2,3054,2,1,1,0,86,1940,Melbourne City Council,-37.7813,144.9773,Northern Metropolitan,3106
Carlton North,194 Amess St,3,h,,S,Nelson,25/02/2017,3.2,3054,3,1,1,202,,,Melbourne City Council,-37.7829,144.9744,Northern Metropolitan,3106
Carlton North,20/22 Grattan St,4,u,1560000,S,Jellis,25/02/2017,3.2,3054,,,,,,,Melbourne City Council,,,Northern Metropolitan,3106
Carlton North,80 Wilson St,2,h,1678000,S,Nelson,25/02/2017,3.2,3054,,,,,,,Melbourne City Council,,,Northern Metropolitan,3106
Carlton North,377 Canning St,3,h,,S,Nelson,26/07/2016,3.2,3054,3,2,1,163,167,1883,Melbourne City Council,-37.7877,144.9743,Northern Metropolitan,3106
Carlton North,24/635 Drummond St,2,u,570000,S,hockingstuart,27/06/2016,3.2,3054,2,1,1,0,76,1975,Melbourne City Council,-37.7902,144.97,Northern Metropolitan,3106
Carlton North,696 Rathdowne St,3,h,,SP,Kay,28/08/2016,3.2,3054,3,1,0,217,,1890,Melbourne City Council,-37.7809,144.9735,Northern Metropolitan,3106
Flemington,96 Bryant St,2,h,865500,S,Nelson,03/09/2016,4.4,3031,2,1,1,168,,,Melbourne City Council,-37.7835,144.9339,Northern Metropolitan,3593
